id,year,state,county,stFIPS,coFIPS,FIPS,FarmTonsN,FarmTonsP2O5,FarmTonsK2O,Exc_Tons_N,Exc_Tons_P2O5,Exc_Tons_K2O,Rec_Tons_N,Rec_Tons_P2O5,Rec_Tons_K2O,Tons_N_Fixed_Legumes,TonsNRem,TonsP2O5Rem,TonsK2ORem,RatioN,RatioP2O5,RatioK2O,N_PPCA,P2O5_PPCA,K2O_PPCA,BalanceN_Tons,BalanceP2O5_Tons,BalanceK2O_Tons,FarmLbsN_perAc,FarmLbsP2O5_perAc,FarmLbsK2O_perAc,LbsNRem_perAc,LbsP2O5Rem_perAc,LbsK2ORem_perAc,LbsNRem_NoLegume_perAc,ExcLbsN_perAc,ExcLbsP2O5_perAc,ExcLbsK2O_perAc,RecLbsN_perAc,RecLbsP2O5_perAc,RecLbsK2O_perAc,21CropTotalHarvestAc,Total_Harvested_Cropland_Acres,TotalCropland,OtherCropAcres
85794,2016,Alabama,Autauga,1,1,1001,744.0414452,478.8102528,457.2606328,1053.408514,509.9762747,800.6272795,53.7556286,40.95286203,56.77020893,110.8037825,1002.995283,391.7674623,906.8445908,1.103889871,0.753742332,1.76418323,-4.998248719,6.777456387,-20.79975373,-94.39442619,127.9956526,-392.813749,39.39749783,25.35332678,24.21225982,53.10927868,20.74435214,48.01803451,47.24214344,55.77869337,27.00358872,42.39375603,2.846396897,2.168481747,3.006020965,24254,27980.8,37771,5277.5
85796,2016,Alabama,Baldwin,1,3,1003,3024.157872,1783.139015,3151.459189,1379.309769,665.9922102,1015.272757,81.87746433,49.80039231,43.92629159,2869.625,5238.19873,1535.40969,3162.118745,0.876589102,0.837676185,0.989589132,13.58987951,5.482852219,0.613036563,737.4616066,297.5297171,33.26673561,55.72892302,32.85953349,58.07482082,96.52907888,28.29439865,58.2712542,43.64787443,25.41780264,12.27284758,18.70935966,1.508830921,0.917717377,0.80946995,99197,93755,108531,10128
85798,2016,Alabama,Barbour,1,5,1005,1907.762068,1484.293083,2032.734282,2554.616971,1215.919635,1777.451414,906.33277,664.6869737,918.3028033,169.314375,997.794725,391.727625,850.3071,0.334447826,0.18228537,0.288138399,104.2235251,92.23695939,110.2658575,1985.614488,1757.252432,2100.729985,100.1371056,77.9095128,106.6968103,52.37355195,20.5615109,44.63202897,43.48635803,134.0900701,63.82277696,93.29718993,47.57277747,34.88895749,48.2010762,26026,24767.8,38103,0
85800,2016,Alabama,Bibb,1,7,1007,431.8257965,110.8218747,132.2225028,788.6558996,381.7741507,595.6508761,20.69473383,19.34311058,28.88802464,160.522375,486.458835,167.004095,398.67647,0.793515153,1.283018584,2.474552571,16.67774313,-4.85363765,-31.29986067,126.5840703,-36.83910976,-237.5659425,56.89404434,14.6010375,17.42061961,64.09207312,22.00317457,52.52654414,42.94288011,103.9072332,50.2996246,78.4783763,2.726578897,2.548499418,3.806063853,7898,10224,15180,4378
85802,2016,Alabama,Blount,1,9,1009,1649.433306,654.4769107,972.5143531,6649.642032,3167.309222,4658.91686,2564.803856,1902.696228,2683.033214,89.375,1044.76438,395.02096,992.753805,0.242764529,0.154475641,0.271574583,153.4875557,101.8345977,125.4141749,3258.847782,2162.152178,2662.793762,77.68619562,30.82502405,45.80418016,49.20706387,18.60498116,46.75743241,44.99761586,313.189621,149.1762067,219.4290156,120.7989759,89.61455481,126.3674272,20646,30392.4,42464,11726.4
85804,2016,Alabama,Bullock,1,11,1011,438.1538877,195.7457561,251.214176,1156.931612,557.4541535,833.3460547,170.233212,117.7195379,145.0347496,62.18811,391.888345,150.958198,423.852086,0.584406252,0.481578666,1.069661161,26.29245386,15.3315813,-2.604194571,278.6868647,162.507096,-27.60316036,41.33722229,18.46745187,23.70056852,36.97234256,14.24201123,39.98793207,31.10526298,109.1496403,52.59249526,78.62126088,16.06049456,11.10614066,13.68316898,9957,10590.6,21199,1503.9
85806,2016,Alabama,Butler,1,13,1013,1202.992541,333.8394068,415.187727,2978.425626,1425.600197,2069.967544,1249.012567,929.3398766,1311.050212,72.688265,500.58517,184.4478995,445.8611715,0.19827563,0.146018781,0.258284887,219.5940551,117.0307984,138.9071621,2024.108203,1078.731384,1280.376767,130.5118027,36.21799911,45.04342034,54.30812802,20.01062105,48.37116046,46.42223,323.1272716,154.6623485,224.5693023,135.5044825,100.8234203,142.2349023,10226,14113.6,18435,4504.1
85808,2016,Alabama,Calhoun,1,15,1015,589.713639,305.3125963,2108.230053,2063.926493,983.888117,1492.423333,496.5743822,378.2017294,539.7065521,137.93325,856.27788,318.05428,726.800855,0.699446987,0.465322039,0.274478193,27.20770446,27.02407259,142.0590639,367.9433912,365.4600457,1921.13575,43.60658402,22.57644813,155.8938184,63.31777129,23.51863645,53.74354679,53.11824823,152.617776,72.75395549,110.3577723,36.71936867,27.96626091,39.90879226,18019,22304.6,27047,7402.3
85810,2016,Alabama,Chambers,1,17,1017,332.8865988,123.1736368,231.282406,1202.844123,581.4009815,906.4118417,23.45758984,19.86731528,19.90307899,35.469805,344.041365,135.5763265,302.1385705,0.878073194,0.947814766,1.202850437,7.323720469,1.144354679,-7.811296262,47.77262862,7.464625572,-50.95308552,51.03274548,18.8829736,35.45644734,52.74281236,20.78435176,46.31895914,47.3051602,184.4004481,89.13091852,138.9562842,3.596135189,3.045732835,3.051215544,7888,9647.2,13046,1759.2
85812,2016,Alabama,Cherokee,1,19,1019,1600.677158,692.8277978,1339.297781,3229.093988,1529.893018,2241.477106,1299.209951,965.930677,1364.485344,554.125,2171.65892,804.21326,1783.601105,0.628735178,0.484828426,0.659668702,36.63813915,24.41522878,26.29053927,1282.353189,854.5452147,920.1820197,45.73297975,19.79479715,38.26510424,62.04651134,22.97719347,50.95930358,46.21459465,92.25851024,43.71060464,64.04128817,37.11975404,27.59762509,38.98473861,61838,51935.4,70001,4857.4
